key	en	fr
searchTitle	Search	Recherche
searchSubtitle	Find players and clubs	Trouve des joueurs et des clubs
searchPlaceholder	Search players or clubs...	Rechercher joueurs ou clubs...
searchCta	Search	Rechercher
searchEmptyPrompt	Search for players or clubs by name	Recherche des joueurs ou clubs par nom
needClubToChallenge	You need to be in a club to challenge.	Tu dois être dans un club pour lancer un défi.
needPlayerToChallenge	You need a player profile to challenge.	Tu dois avoir un profil joueur pour lancer un défi.
challengeSentClub	Challenge sent to {name}! A live match room has been created.	Défi envoyé à {name} ! Une room de match live a été créée.
challengeSentPlayer	Challenge sent to {name}! They'll see it in Live Matches.	Défi envoyé à {name} ! Il le verra dans Live Matches.
inviteSent	Invite sent to {name}!	Invitation envoyée à {name} !
playersTab	Players	Joueurs
myClubsTab	My Clubs	Mes clubs
eafcTab	EA FC	EA FC
noClubsFound	No clubs found.	Aucun club trouvé.
noEafcClubsFound	No EA FC clubs found.	Aucun club EA FC trouvé.
matchesCount	{count} matches	{count} matchs
winsLosses	{wins}W {losses}L	{wins}W {losses}L
membersCount	{count} members	{count} membres
divisionShort	Div {division}	Div {division}
formRecord	W{wins} D{draws} L{losses}	W{wins} D{draws} L{losses}
ovr	OVR	OVR
invite	Invite	Inviter
challenge	Challenge	Défier
view	View	Voir
followBackTitle	Follow Back	Follow Back
followedClubsEmpty	You're not following any clubs yet.	Tu ne suis encore aucun club.
followedPlayersEmpty	You're not following any players yet.	Tu ne suis encore aucun joueur.
internationalTitle	International	International
internationalSubtitle	Club owners vote for the national team owner, then the winner selects the squad.	Les propriétaires de club votent pour l'owner national, puis le gagnant sélectionne l'équipe.
internationalLoading	Loading international tournaments...	Chargement des tournois internationaux...
internationalLoadFailed	Could not load international tournaments.	Impossible de charger les tournois internationaux.
voteFailed	Could not submit your vote.	Impossible d'envoyer ton vote.
squadSaveFailed	Could not save the national squad.	Impossible d'enregistrer l'équipe nationale.
noInternationalOpen	No international tournaments are open yet.	Aucun tournoi international n'est ouvert.
noInternationalOpenDesc	An admin needs to create an international tournament and open voting before club owners can vote for the national team owner.	Un admin doit créer un tournoi international et ouvrir le vote avant que les owners puissent voter.
global	Global	Global
noElectionOpen	No election is open for your country yet.	Aucun vote n'est ouvert pour ton pays.
ownersOnlyVote	Only club owners from this country can vote for the national team owner.	Seuls les owners de club de ce pays peuvent voter pour l'owner national.
nationalOwnerVote	{country} National Team Owner Vote	Vote owner national {country}
chooseTopOwners	Choose between the top 5 club owners from this country.	Choisis parmi les 5 meilleurs owners de club du pays.
selectOwnerCandidate	Select owner candidate	Choisir un candidat
submitting	Submitting...	Submitting...
vote	Vote	Voter
nationalSquad	National Squad	Équipe nationale
squadSelectedRule	{selected}/{max} selected · matchday rule: 11 starters + 7 bench	{selected}/{max} sélectionnés · règle matchday: 11 titulaires + 7 banc
pick	Pick	Choix
position	Position	Poste
saveSquad	Save Squad	Enregistrer l'équipe
saving	Saving...	Enregistrement...
freeAgentTitle	Free Agent Board	Tableau agents libres
freeAgentSubtitle	Players looking for a club	Joueurs qui cherchent un club
searchGamertag	Search gamertag...	Rechercher gamertag...
noFreeAgentsFound	No free agents found.	Aucun agent libre trouvé.
transferTitle	Transfers	Transferts
transferSubtitle	Browse available players and send contract offers	Parcours les joueurs disponibles et envoie des offres de contrat
playersFound	{count} player{plural} found	{count} joueur{plural} trouvé{plural}
freeAgentsShort	{count} free agents	{count} agents libres
freeShort	{count} free	{count} libres
expiringShort	{count} expiring	{count} expirants
playerDetails	Player Details	Détails joueur
tryAdjustingFilters	Try adjusting your filters	Essaie de modifier les filtres
sent	Sent	Envoyé
offer	Offer	Offre
expiring	Expiring	Expire bientôt
selectPlayer	Select a player	Sélectionne un joueur
selectPlayerDetails	Click any player to view their details	Clique sur un joueur pour voir ses détails
platform	Platform	Plateforme
marketValue	Market Value	Valeur marché
currentClub	Current Club	Club actuel
underContract	Under Contract	Sous contrat
gamesLeft	Games left	Matchs restants
status	Status	Statut
freeAgentAvailable	Free Agent - Available Now	Agent libre - disponible maintenant
bio	Bio	Bio
country	Country	Pays
goals	Goals	Buts
assists	Assists	Passes
matches	Matches	Matchs
transferWindowClosed	Transfer window is closed. Offers sent now will execute when the window opens.	Le mercato est fermé. Les offres envoyées maintenant s'exécuteront à l'ouverture.
sendContractOffer	Send Contract Offer	Envoyer une offre de contrat
offerAlreadySent	Offer Already Sent	Offre déjà envoyée
viewFullProfile	View Full Profile	Voir le profil complet
walletTitle	STC Wallet	STC Wallet
walletSubtitle	Your full transaction history and income sources	Ton historique complet de transactions et tes sources de revenus
feedTitle	Feed	Feed
feedSubtitle	Community highlights & updates	Temps forts et updates de la communauté
post	Post	Publier
createPost	Create Post	Créer un post
shareWithCommunity	Share something with the community...	Partage quelque chose avec la communauté...
photoVideo	Photo/Video	Photo/Vidéo
posting	Posting...	Publication...
share	Share	Partager
noPostsYet	No posts yet	Aucun post
firstToShare	Be the first to share something with the community!	Sois le premier à partager quelque chose avec la communauté !
delete	Delete	Supprimer
addComment	Add a comment...	Ajouter un commentaire...
pressConference	Press Conference	Conférence de presse
newsTitle	News	News
newsSubtitle	Transfers · Contracts · Club & Player news · Press Room	Transferts · Contrats · News club & joueur · Press Room
nothingHere	Nothing here yet	Rien ici pour le moment
newsEmptyDesc	News will appear as transfers, contracts, matches and tournaments happen.	Les news apparaîtront avec les transferts, contrats, matchs et tournois.
all	All	Tout
transfers	Transfers	Transferts
contracts	Contracts	Contrats
clubNews	Club News	News club
playerNews	Player News	News joueur
market	Market	Marché
tournaments	Tournaments	Tournois
pressRoom	Press Room	Press Room
general	General	Général
achievement	Achievement	Achievement
appUpdate	App Update	Update app
rankings	Rankings	Classements
announcement	Announcement	Annonce
featured	Featured	À la une
recruitmentTitle	Recruitment	Recrutement
recruitmentSubtitle	Find players, clubs, and trials. Official signings still go through contracts.	Trouve joueurs, clubs et essais. Les signatures officielles passent toujours par les contrats.
playerPost	Player Post	Post joueur
clubPost	Club Post	Post club
playersLooking	Players Looking	Joueurs en recherche
lookingForClub	Looking for Club	Cherche un club
clubsRecruiting	Clubs Recruiting	Clubs qui recrutent
clubRecruiting	Club Recruiting	Club recrute
trials	Trials	Essais
trialRequest	Trial Request	Demande d'essai
interestSent	Interest sent.	Intérêt envoyé.
contractOfferSent	Contract offer sent.	Offre de contrat envoyée.
searchPosts	Search posts...	Rechercher posts...
allPositions	All positions	Tous les postes
allPlatforms	All platforms	Toutes les plateformes
allRegions	All regions	Toutes les régions
verifiedOnly	Verified only	Vérifiés seulement
noOpenPostsFound	No open posts found	Aucun post ouvert trouvé
changeFiltersRecruitment	Change filters or create the first recruitment post.	Change les filtres ou crée le premier post de recrutement.
createRecruitmentPost	Create Recruitment Post	Créer un post de recrutement
playerLooking	Player looking	Joueur en recherche
title	Title	Titre
describeLooking	Describe what you are looking for...	Décris ce que tu recherches...
positionsNeeded	Positions needed	Postes nécessaires
preferredPositions	Preferred positions	Postes préférés
availabilityExample	Availability, e.g. Tonight 21:00 CET	Disponibilité, ex. ce soir 21:00 CET
